season,date,batting_team
2008,2008-04-18,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2008-04-19,Chennai Super Kings
,,Delhi Daredevils
,,Kings XI Punjab
,,Rajasthan Royals
,2008-04-20,Deccan Chargers
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2008-04-21,Kings XI Punjab
,,Rajasthan Royals
,2008-04-22,Deccan Chargers
,,Delhi Daredevils
,2008-04-23,Chennai Super Kings
,,Mumbai Indians
,2008-04-24,Deccan Chargers
,,Rajasthan Royals
,2008-04-25,Kings XI Punjab
,,Mumbai Indians
,2008-04-26,Chennai Super Kings
,,Kolkata Knight Riders
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2008-04-27,Deccan Chargers
,,Delhi Daredevils
,,Kings XI Punjab
,,Mumbai Indians
,2008-04-28,Chennai Super Kings
,,Royal Challengers Bangalore
,2008-04-29,Kolkata Knight Riders
,,Mumbai Indians
,2008-04-30,Delhi Daredevils
,,Royal Challengers Bangalore
,2008-05-01,Deccan Chargers
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,2008-05-02,Chennai Super Kings
,,Delhi Daredevils
,2008-05-03,Deccan Chargers
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2008-05-04,Chennai Super Kings
,,Delhi Daredevils
,,Mumbai Indians
,,Rajasthan Royals
,2008-05-05,Kings XI Punjab
,,Royal Challengers Bangalore
,2008-05-06,Chennai Super Kings
,,Deccan Chargers
,2008-05-07,Mumbai Indians
,,Rajasthan Royals
,2008-05-08,Chennai Super Kings
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2008-05-09,Deccan Chargers
,,Rajasthan Royals
,2008-05-10,Chennai Super Kings
,,Kings XI Punjab
,2008-05-11,Deccan Chargers
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Rajasthan Royals
,2008-05-12,Kings XI Punjab
,,Royal Challengers Bangalore
,2008-05-13,Delhi Daredevils
,,Kolkata Knight Riders
,2008-05-14,Chennai Super Kings
,,Mumbai Indians
,2008-05-15,Deccan Chargers
,,Delhi Daredevils
,2008-05-16,Kolkata Knight Riders
,,Mumbai Indians
,2008-05-17,Delhi Daredevils
,,Kings XI Punjab
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2008-05-18,Chennai Super Kings
,,Deccan Chargers
,,Kolkata Knight Riders
,,Mumbai Indians
,2008-05-19,Delhi Daredevils
,,Royal Challengers Bangalore
,2008-05-20,Kolkata Knight Riders
,,Rajasthan Royals
,2008-05-21,Chennai Super Kings
,,Kings XI Punjab
,,Mumbai Indians
,,Royal Challengers Bangalore
,2008-05-23,Deccan Chargers
,,Kings XI Punjab
,2008-05-24,Chennai Super Kings
,,Delhi Daredevils
,,Mumbai Indians
,,Rajasthan Royals
,2008-05-25,Deccan Chargers
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Royal Challengers Bangalore
,2008-05-26,Mumbai Indians
,,Rajasthan Royals
,2008-05-27,Chennai Super Kings
,,Deccan Chargers
,2008-05-28,Kings XI Punjab
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2008-05-30,Delhi Daredevils
,,Rajasthan Royals
,2008-05-31,Chennai Super Kings
,,Kings XI Punjab
,2008-06-01,Chennai Super Kings
,,Rajasthan Royals
2009,2009-04-18,Chennai Super Kings
,,Mumbai Indians
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2009-04-19,Deccan Chargers
,,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,2009-04-20,Chennai Super Kings
,,Royal Challengers Bangalore
,2009-04-21,Kings XI Punjab
,,Kolkata Knight Riders
,2009-04-22,Deccan Chargers
,,Royal Challengers Bangalore
,2009-04-23,Chennai Super Kings
,,Delhi Daredevils
,,Kolkata Knight Riders
,,Rajasthan Royals
,2009-04-24,Kings XI Punjab
,,Royal Challengers Bangalore
,2009-04-25,Deccan Chargers
,,Mumbai Indians
,2009-04-26,Delhi Daredevils
,,Kings XI Punjab
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2009-04-27,Chennai Super Kings
,,Deccan Chargers
,,Kolkata Knight Riders
,,Mumbai Indians
,2009-04-28,Delhi Daredevils
,,Rajasthan Royals
,2009-04-29,Kings XI Punjab
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2009-04-30,Chennai Super Kings
,,Deccan Chargers
,,Delhi Daredevils
,,Rajasthan Royals
,2009-05-01,Kings XI Punjab
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2009-05-02,Chennai Super Kings
,,Deccan Chargers
,,Delhi Daredevils
,,Rajasthan Royals
,2009-05-03,Kings XI Punjab
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2009-05-04,Chennai Super Kings
,,Deccan Chargers
,2009-05-05,Delhi Daredevils
,,Kings XI Punjab
,,Kolkata Knight Riders
,,Rajasthan Royals
,2009-05-06,Deccan Chargers
,,Mumbai Indians
,2009-05-07,Chennai Super Kings
,,Kings XI Punjab
,,Rajasthan Royals
,,Royal Challengers Bangalore
,2009-05-08,Delhi Daredevils
,,Mumbai Indians
,2009-05-09,Chennai Super Kings
,,Deccan Chargers
,,Kings XI Punjab
,,Rajasthan Royals
,2009-05-10,Delhi Daredevils
,,Kolkata Knight Riders
,,Mumbai Indians
,,Royal Challengers Bangalore
,2009-05-11,Deccan Chargers
